FIPS,Number,lon,lat,StreetAddress,City,State,ZipCode,LocationName,LocationType,CountyName,Confirmed,Deaths,Recovered,Active,Combined_Key
12001,718311,-82.4180272,29.722938800000005,7920 NW 71st St.,Gainesville,FL,32653,"Wetland and Aquatic Research Center - Gainesville, FL",Science Center,Alachua,210,0,0,210,"Alachua, Florida, US"
12011,722133,-80.2385075,26.0844337,3205 College Avenue,Davie,FL,33314,"Wetland and Aquatic Research Center - Davie, FL",Duty Station,Broward,3971,115,0,3856,"Broward, Florida, US"
12011,941449,-80.2384968,26.0798004,3321 College Avenue,Davie,FL,33314,Caribbean-Florida Water Science Center Davie office,Field Station,Broward,3971,115,0,3856,"Broward, Florida, US"
12071,941240,-81.88664399999999,26.59654,"1400 Colonial Boulevard, Suite 70",Fort Myers,FL,33907,Caribbean-Florida Water Science Center - Fort Myers office,Field Station,Lee,769,27,0,742,"Lee, Florida, US"
12073,941269,-84.2967914,30.4761654,2639 North Monroe St,Tallahassee,FL,32303,Caribbean Florida Water Science Center - Tallahassee Field office,Field Station,Leon,176,1,0,175,"Leon, Florida, US"
12087,723438,-80.99998000000001,24.731436,10 Parachute Key,Homestead,FL,33034,USGS Everglades Research Offices,Field Station,Monroe,73,3,0,70,"Monroe, Florida, US"
12095,941444,-81.19289599999999,28.589240000000004,12703 Research Parkway,Orlando,FL,32826,Caribbean-Florida Water Science Center - Orlando Office,Field Station,Orange,1198,23,0,1175,"Orange, Florida, US"
12101,721758,-82.38081899999999,28.223821,4446 Pet Lane,Lutz,FL,33559,Caribbean-Florida Water Science Center - Florida Office,Science Center,Pasco,205,3,0,202,"Pasco, Florida, US"
12103,947316,-82.63815,27.763966999999997,600 4th Street South,St. Petersburg,FL,33701,USGS-St. Petersburg Carbon Analytical Laboratory,Laboratory,Pinellas,592,16,0,576,"Pinellas, Florida, US"
12103,721831,-82.6380207,27.7636688,600 4th Street South,St. Petersburg,FL,33701,St. Petersburg Coastal and Marine Science Center,Science Center,Pinellas,592,16,0,576,"Pinellas, Florida, US"
13051,726672,-81.1254958,32.0568362,765 Alligator Alley,Hardeeville,SC,29927,South Atlantic Water Science Center - Georgia: Savannah Field Office,Field Station,Chatham,179,5,0,174,"Chatham, Georgia, US"
13067,721754,-84.488984,33.921464,1770 Corporate Drive,Norcross,GA,30093,"South Atlantic Water Science Center - Norcross, GA Office",Science Center,Cobb,1125,51,0,1074,"Cobb, Georgia, US"
13277,727746,-83.487085,31.4468211,1890 Fletcher Road,Tifton,GA,31794,"South Atlantic Water Science Center - Tifton, GA Field Office",Field Station,Tift,86,3,0,83,"Tift, Georgia, US"
15001,949146,-155.0718142,19.7223183,1266 Kamehameha Ave,Hilo,HI,96720,Hawaiian Volcano Observatory,Observatory,Hawaii,62,0,0,62,"Hawaii, Hawaii, US"
15003,723413,-157.96279819999998,21.365891100000002,1845 Wasp Blvd,Honolulu,HI,96818,O'ahu Field Station,Field Station,Honolulu,385,6,0,379,"Honolulu, Hawaii, US"
15003,725148,-157.946006,21.350957,"1845 Wasp Blvd., B176",Honolulu,HI,96818,Pacific Islands Water Science Center,Science Center,Honolulu,385,6,0,379,"Honolulu, Hawaii, US"
15003,909207,-157.8623345,21.3034692,300 Ala Moana Blvd,Honolulu,HI,96850,"National Wildlife Health Center, Honolulu Field Station",Field Station,Honolulu,385,6,0,379,"Honolulu, Hawaii, US"
15003,723491,-157.81661450000001,21.2981408,2525 Correa Rd,Honolulu,HI,96822,Pacific Islands Climate Adaptation Science Center,Science Center,Honolulu,385,6,0,379,"Honolulu, Hawaii, US"
16001,904540,-116.213081,43.604977000000005,970 South Lusk Street,Boise,ID,83706,Forest and Rangeland Ecosystem Science Center (FRESC) Snake River Field Station,Field Station,Ada,598,10,0,588,"Ada, Idaho, US"
16001,721311,-116.18927759999998,43.6173775,230 Collins Rd.,Boise,ID,83702-4520,Idaho Water Science Center,Science Center,Ada,598,10,0,588,"Ada, Idaho, US"
16001,726671,-116.18927759999998,43.6173775,230 Collins Rd.,Boise,ID,83702,Idaho Water Science Center - Boise Field Office,Field Station,Ada,598,10,0,588,"Ada, Idaho, US"
16001,727016,-116.18927759999998,43.6173775,230 Collins Road,Boise,ID,83702,Idaho Water Science Center - Groundwater Training Facility,Field Station,Ada,598,10,0,588,"Ada, Idaho, US"
16019,741491,-112.04668500000001,43.516404,1955 Fremont Avenue,Idaho Falls,ID,83415,Idaho Water Science Center - Idaho National Laboratory Project Office,Field Station,Bonneville,24,0,0,24,"Bonneville, Idaho, US"
16019,741490,-112.0383037,43.4951706,366 D Street,Idaho Falls,ID,83405,Idaho Water Science Center - Idaho Falls Field Office,Field Station,Bonneville,24,0,0,24,"Bonneville, Idaho, US"
16055,726675,-117.007433,47.700047,721 Lochsa Street,Post Falls,ID,83854,Idaho Water Science Center - Post Falls Field Office,Field Station,Kootenai,50,0,0,50,"Kootenai, Idaho, US"
16057,915337,-117.01480600000001,46.730066,College of Natural Resources,Moscow,ID,83844,Idaho Cooperative Fish And Wildlife Research Unit,Coop Unit,Kootenai,3,0,0,3,"Latah, Idaho, US"
17019,721700,-88.2244675,40.1158924,405 N. Goodwin Ave.,Urbana,IL,61801,Illinois Water Science Center,Science Center,Champaign,95,4,0,91,"Champaign, Illinois, US"
17037,926170,-88.724147,41.9124989,650 Peace Road,DeKalb,IL,60115,Northern Illinois Field Office - DeKalb,Field Station,DeKalb,55,1,0,54,"DeKalb, Illinois, US"
17081,926169,-88.898684,38.3177513,105 South 6th Street,Mt Vernon,IL,62864,Southern Illinois Field Office - Mt. Vernon,Field Station,Jackson,31,0,0,31,"Jefferson, Illinois, US"
18097,721705,-86.26607,39.876695,5957 Lakeside Blvd,Indianapolis,IN,46278,Indiana - Indianapolis Office,Science Center,Marion,3889,192,0,3697,"Marion, Indiana, US"
18127,928794,-87.04700000000001,41.6143,1574 North 300 East,Chesterton,IN,46304,Lake Michigan Ecological Research Station,Field Station,Porter,175,3,0,172,"Porter, Indiana, US"
19103,721707,-91.534175,41.657087100000005,400 S Clinton St,Iowa City,IA,52240,Iowa Water Science Center,Science Center,Johnson,285,3,0,282,"Johnson, Iowa, US"
19155,926171,-95.85299300000001,41.257082000000004,8 South 6th Street,Council Bluffs,IA,51501,Western Iowa Field Office - Council Bluffs,Field Station,Pottawattamie,18,1,0,17,"Pottawattamie, Iowa, US"
19187,926172,-94.192107,42.5082235,407 North 5th Street,Fort Dodge,IA,50501,Central Iowa Field Office - Fort Dodge,Field Station,Webster,3,0,0,3,"Webster, Iowa, US"
20035,725151,-97.10948370000001,37.2591916,"7920 West Kellogg, Suite 4",Wichita,KS,67209,Wichita Field Office,Field Station,Coffey,1,1,0,0,"Cowley, Kansas, US"
20045,721693,-95.309512,38.9633266,1217 Biltmore Drive,Lawrence,KS,66049,Kansas Water Science Center,Science Center,Douglas,43,0,0,43,"Douglas, Kansas, US"
20045,725150,-95.309512,38.9633266,1217 Biltmore Drive,Lawrence,KS,66049,Organic Geochemistry Research Laboratory (OGRL),Laboratory,Douglas,43,0,0,43,"Douglas, Kansas, US"
20051,725153,-99.2992506,38.8692308,1204 Canterbury Drive,Hays,KS,67601,Hays Field Office,Field Station,Douglas,8,0,0,8,"Ellis, Kansas, US"
21035,725339,-88.3377486,36.6173734,2009 College Farm Road,Murray,KY,42071,Kentucky - Murray Field Office,Science Center,Calloway,21,1,0,20,"Calloway, Kentucky, US"
21111,955717,-85.57176,38.221336,9818 Bluegrass Parkway,Louisville,KY,40299,Ohio-Kentucky-Indiana Water Science Center,Science Center,Jefferson,814,60,0,754,"Jefferson, Kentucky, US"
21111,721711,-85.5717548,38.221328899999996,9818 Bluegrass Parkway,Louisville,KY,40299,Kentucky Water Science Center,Science Center,Jefferson,814,60,0,754,"Jefferson, Kentucky, US"
21111,725152,-85.5717548,38.221328899999996,9818 Bluegrass Parkway,Louisville,KY,40299,Kentucky - Louisville Office,Science Center,Jefferson,814,60,0,754,"Jefferson, Kentucky, US"
21235,725158,-84.1718485,36.7332982,50 Main Street,Williamsburg,KY,40769,Kentucky - Williamsburg Field Office,Science Center,Webster,8,0,0,8,"Whitley, Kentucky, US"
22033,721736,-91.05137940000002,30.4211835,3535 South Sherwood Forest Blvd.,Baton Rouge,LA,70816,"Lower Mississippi-Gulf Water Science Center - Baton Rouge, LA Office",Science Center,East Baton Rouge,1512,72,0,1440,"East Baton Rouge, Louisiana, US"
22033,896512,-91.05137940000002,30.4211835,3535 South Sherwood Forest Blvd. Suite 120,Baton Rouge,LA,70816, Louisiana Water Science Center,Program Office,East Baton Rouge,1512,72,0,1440,"East Baton Rouge, Louisiana, US"
22055,718350,-92.0470212,30.227571299999997,700 Cajundome Blvd.,Lafayette,LA,70506-3152,"Wetland and Aquatic Research Center - Lafayette, LA ",Science Center,Lafayette,419,17,0,402,"Lafayette, Louisiana, US"
22061,729833,-92.674521,32.5076197,3095 W California Ave,Ruston,LA,71270,"Lower Mississippi-Gulf Water Science Center - Ruston, LA Office",Field Station,Lincoln,49,2,0,47,"Lincoln, Louisiana, US"
22061,896513,-92.674521,32.5076197,3095 West California Ave.,Ruston,LA,71270,Ruston Program Office,Science Center,Lincoln,49,2,0,47,"Lincoln, Louisiana, US"
22115,896514,-93.21002800000001,31.030965000000002,1727 23rd Street,Fort Polk South,LA,71459,Fork Polk Project Office,Program Office,Vernon,14,1,0,13,"Vernon, Louisiana, US"
23011,723221,-69.8092397,44.3044717,196 Whitten Rd,Augusta,ME,4330,New England Water Science Center - Maine Office,Science Center,Kennebec,97,4,0,93,"Kennebec, Maine, US"
24005,718219,-76.71329920000001,39.2478982,5522 Research Park Drive,Catonsville,MD,21228,MD-DE-DC Water Science Center,Science Center,Baltimore,1733,50,0,1683,"Baltimore, Maryland, US"
24005,943745,-76.71329920000001,39.2478982,5522 Research Park Drive,Baltimore,MD,21228,Chesapeake Bay Activities,Science Center,Baltimore,1733,50,0,1683,"Baltimore, Maryland, US"
24033,726663,-76.9220123,39.02743529999999,10300 Baltimore Avenue,Beltsville,MD,20705,Patuxent Wildlife Research Center - Beltsville Lab,Field Station,Prince George's,3345,105,0,3240,"Prince George's, Maryland, US"
24033,723203,-76.869106,39.093074,12100 Beech Forest Road,Laurel,MD,20708-4039,Patuxent Wildlife Research Center,Science Center,Prince George's,3345,105,0,3240,"Prince George's, Maryland, US"
25001,722340,-70.6506313,41.533342600000005,384 Woods Hole Rd.,Woods Hole,MA,2543,Woods Hole Coastal and Marine Science Center,Science Center,Barnstable,632,21,0,611,"Barnstable, Massachusetts, US"
25011,729133,-72.56962,42.59827,1 Migratory Way,Turners Falls,MA,1376,USGS S.O. Conte Anadromous Research Center,Field Station,Franklin,181,26,0,155,"Franklin, Massachusetts, US"
25011,741289,-72.56962,42.59827,One Migratory Way,Turners Falls,MA,1376,LSC Conte Anadromous Fish Laboratory,Laboratory,Franklin,181,26,0,155,"Franklin, Massachusetts, US"
25015,723468,-72.52449190000002,42.3896234,611 N Pleasant St,Amherst,MA,1003,Northeast Climate Adaptation Science Center,Science Center,Hampshire,317,7,0,310,"Hampshire, Massachusetts, US"
25027,721768,-71.6347953,42.340850200000006,10 Bearfoot Road,Northborough,MA,1532,New England Water Science Center - Massachusetts/Rhode Island Office,Science Center,Worcester,3069,114,0,2955,"Worcester, Massachusetts, US"
26039,729803,-84.70315,44.713286,1955 Hartwick Pines Road,Grayling,MI,49738,"Upper Midwest Water Science Center - Grayling, Mich., Field Office",Field Station,Crawford,29,2,0,27,"Crawford, Michigan, US"
26041,729802,-87.0702066,45.7455021,1601 Ludington Street,Escanaba,MI,49829,"Upper Midwest Water Science Center - Escanaba, Mich., Field Office",Field Station,Delta,12,1,0,11,"Delta, Michigan, US"
26065,723832,-84.5361103,42.6642782,5840 Enterprise Drive,Lansing,MI,48911-4107,Michigan Bacteriological Research Laboratory (MI-BaRL),Laboratory,Ingham,308,6,0,302,"Ingham, Michigan, US"
26065,721713,-84.536061,42.664347,5840 Enterprise Drive,Lansing,MI,48911-4107,"Upper Midwest Water Science Center - Lansing, Mich., Office",Science Center,Ingham,308,6,0,302,"Ingham, Michigan, US"
26065,729837,-84.536061,42.664347,5840 Enterprise Drive,Lansing,MI,48911-4107,"Upper Midwest Water Science Center - Lansing, Mich., Field Office",Field Station,Ingham,308,6,0,302,"Ingham, Michigan, US"
26141,928790,-84.037829,45.493835,11188 Ray Rd,Millersbug,MI,49759,Hammond Bay Biological Station,Field Station,Ottawa,2,0,0,2,"Presque Isle, Michigan, US"
26161,721694,-83.69314229999999,42.2940172,1451 Green Road,Ann Arbor,MI,48105,Great Lakes Science Center,Science Center,Washtenaw,870,30,0,840,"Washtenaw, Michigan, US"
27123,721722,-93.20122359999999,45.0972,2280 Woodale Drive,Mounds View,MN,55112,"Upper Midwest Water Science Center - Mounds View, Minn., Office",Science Center,Ramsey,196,9,0,187,"Ramsey, Minnesota, US"
28121,721730,-90.072458,32.274353999999995,308 Airport Road,Jackson,MS,39208,"Lower Mississippi-Gulf Water Science Center - Jackson, MS Office",Science Center,Rankin,133,2,0,131,"Rankin, Mississippi, US"
29019,721674,-92.273384,38.91237,4200 New Haven Road,Columbia,MO,65201-8709,Columbia Environmental Research Center,Science Center,Boone,93,1,0,92,"Boone, Missouri, US"
29161,721718,-91.7439954,37.953832,1400 Independence Road,Rolla,MO,65401,Missouri Water Science Center,Science Center,Pettis,1,0,0,1,"Phelps, Missouri, US"
29161,909521,-91.7439954,37.953832,1400 Independence Road,Rolla,MO,65401,CEGIS - Missouri,Other Facilities,Pettis,1,0,0,1,"Phelps, Missouri, US"
29161,929207,-91.7439954,37.953832,1400 Independence Road,Rolla,MO,65401,"National Geospatial Technical Operations Center - Rolla, MO",Science Center,Pettis,1,0,0,1,"Phelps, Missouri, US"
29189,926168,-90.3747,38.6746,9351 Industrial Center,Olivette,MO,63132,Eastern Missouri - Olivette,Field Station,St. Louis,2235,81,0,2154,"St. Louis, Missouri, US"
30029,718313,-113.98244309999998,48.4963369,PO Box 169,West Glacier,MT,59936,Northern Rocky Mountain Science Center (NOROCK) West Glacier Field Station,Field Station,Flathead,37,1,0,36,"Flathead, Montana, US"
30031,718312,-111.05085,45.65611,2327 University Way,Bozeman,MT,59715,Northern Rocky Mountain Science Center (NOROCK) Headquarters,Science Center,Gallatin,143,0,0,143,"Gallatin, Montana, US"
30049,721773,-111.9802399,46.600134600000004,3162 Bozeman Avenue,Helena,MT,59601,Wyoming-Montana Water Science Center - Helena Office,Science Center,Lewis and Clark,16,0,0,16,"Lewis and Clark, Montana, US"
