FIPS,Number,lon,lat,StreetAddress,City,State,ZipCode,LocationName,LocationType,CountyName
02020,723492,-149.803646,61.187887,4210 University Drive,Anchorage,AK,99508,Alaska Climate Adaptation Science Center,Science Center,Anchorage
04005,721284,-111.6326899,35.2160194,2255 N. Gemini Drive,Flagstaff,AZ,86001,Astrogeology Science Center,Science Center,Coconino
04005,723412,-111.6326899,35.2160194,2255 N. Gemini Drive,Flagstaff,AZ,86001,"Southwest Biological Science Center - Flagstaff, AZ, Research Station",Field Station,Coconino
04005,740905,-111.6326899,35.2160194,2255 North Gemini Drive,Flagstaff,AZ,86001,Western Geographic Science Center - Flagstaff Project Office,Science Center,Coconino
04005,741170,-111.6326899,35.2160194,2255 N. Gemini Drive,Flagstaff,AZ,86001,"Arizona Water Science Center, Flagstaff Office",Field Station,Coconino
04013,741171,-111.9401712,33.4219341,1769 W. University Drive,Tempe,AZ,85281,"Arizona Water Science Center, Tempe Office",Field Station,Maricopa
04019,740902,-110.956572,32.216542,520 Park Ave.,Tucson,AZ,85719,Western Geographic Science Center - Tucson Project Office,Science Center,Pima
04019,943740,-110.9563733,32.2283112,"520 N. Park Avenue, Suite 221",Tucson,AZ,85719,"Arizona Water Science Center, Tucson Office",Science Center,Pima
04019,723472,-110.9555651,32.2285314,1064 Lowell Street,Tucson,AZ,85719,Southwest Climate Adaptation Science Center,Science Center,Pima
04027,741172,-114.598738,32.6755863,2995 South Pacific Avenue,Yuma,AZ,85365,"Arizona Water Science Center, Yuma Office",Field Station,Yuma
05119,721733,-92.397975,34.747244,401 Hardin Road,Little Rock,AR,72211,Arkansas Water Science Center,Science Center,Pulaski
05143,729769,-94.190997,35.974602,700 W Research Blvd,Fayetteville,AR,72701,"Lower Mississippi-Gulf Water Science Center - Fayetteville, AR Office",Field Station,Washington
06023,729994,-124.0880062,40.9031429,1655 Heindon Road,Arcata,CA,95521,Western Ecological Research Center - Redwood Field Station,Field Station,Humboldt
06037,718227,-118.1280493,34.1373242,525 South Wilson Avenue,Pasadena,CA,91106,Pasadena Field Office,Field Station,Los Angeles
06039,732431,-119.6582373,37.334474,"40298 Junction Dr., Suite A",Oakhurst,CA,93644,Western Ecological Research Center - Yosemite-Oakhurst Field Station,Field Station,Madera
06065,730000,-117.285674,33.9086373,21803 Cactus Ave. Suite F,Riverside,CA,92518,Western Ecological Research Center - Box Springs Field Station,Field Station,Riverside
06067,718478,-121.4206056,38.5599695,"6000 J Street, Placer Hall",Sacramento,CA,95819,Sacramento Projects Office (USGS California Water Science Center),Science Center,Sacramento
06067,721294,-121.4193259,38.553155,3020 State University Drive,Sacramento,CA,95819,Western Ecological Research Center - Headquarters,Science Center,Sacramento
06067,962255,-121.3872933,38.53156171,8550 23rd Avenue,Sacramento,CA,95826,Sacramento Field Office (USGS California Water Science Center),Field Station,Sacramento
06073,732451,-117.2106834,32.7318189,4165 Spruance Road Suite 200,San Diego,CA,92101,Western Ecological Research Center - San Diego Field Station,Field Station,San Diego
06073,912984,-117.2095493,32.7321392,4165 Spruance Road,San Diego,CA,92101,San Diego Projects Office (USGS California Water Science Center),Science Center,San Diego
06081,721584,-122.1847077,37.4535143,345 Middlefield Road,Menlo Park,CA,94025,"Geology, Minerals, Energy and Geophysics Science Center",Science Center,San Mateo
06081,721586,-122.1847077,37.4535143,345 Middlefield Road,Menlo Park,CA,94025,Earthquake Science Center,Science Center,San Mateo
06081,718492,-122.1684461,37.4568833,345 Middlefield Road,Menlo Park,CA,94025,USGS California Volcano Observatory (CalVO package delivery),Observatory,San Mateo
06081,721592,-122.1684461,37.4568833,350 N. Akron Rd.,Moffett Field,CA,94035,Western Geographic Science Center - Main Office,Science Center,San Mateo
06081,722130,-122.1684461,37.4568833,"345 Middlefield Road, MS 955",Menlo Park,CA,94025-3591,USGS Menlo Park Library,Other Facilities,San Mateo
06081,943975,-122.1684461,37.4568833,345 Middlefield Rd,Menlo Park,CA,94025,"USGS Water Mission Area - Menlo Park, CA",Mission Office,San Mateo
06083,732462,-119.848947,34.4139629,University of California Santa Barbara,Santa Barbara,CA,93106-6150,Western Ecological Research Center - Santa Barbara Field Station,Field Station,Santa Barbara
06087,732459,-122.0655899,36.9496812,"Long Marine Laboratory, UCSC 100 Shaffer Road",Santa Cruz,CA,95060,Western Ecological Research Center - Santa Cruz Field Station,Field Station,Santa Cruz
06087,718231,-122.0572457,36.9597256,2885 Mission Street,Santa Cruz,CA,95060,Pacific Coastal and Marine Science Center,Science Center,Santa Cruz
06087,962256,-122.0572457,36.9597256,2885 Mission Street,Santa Cruz,CA,95060,Santa Cruz Field Office (USGS California Water Science Center),Field Station,Santa Cruz
06095,732430,-122.2666923,38.0898613,505 Azuar Drive,Vallejo,CA,94592,Western Ecological Research Center - San Francisco Bay Estuary Field Station,Field Station,Solano
06095,732427,-121.8196192,38.4534912,"800 Business Park Drive, Suite D",Dixon,CA,95620,Western Ecological Research Center - Dixon Field Station,Field Station,Solano
06107,732460,-118.8262276,36.4901016,47050 Generals Highway #4,Three Rivers,CA,93271-9651,Western Ecological Research Center - Sequoia and Kings Canyon Field Station ,Field Station,Tulare
06111,730018,-119.2665518,34.2484866,1901 Spinnaker Drive,Ventura,CA,93001-4354,Western Ecological Research Center - Channel Islands Field Station,Field Station,Ventura
06113,730020,-121.7617125,38.5382322,"1 Shields Ave., University of California",Davis,CA,95616-5224,Western Ecological Research Center - Davis Field Station,Field Station,Yolo
06113,962315,-121.5413988,38.57286527,1280 Terminal Street,West Sacramento,CA,95691,West Sacramento Projects Office (USGS California Water Science Center),Field Station,Yolo
08013,723471,-105.2424912,40.0100112,4001 Discovery Drive,Boulder,CO,80303,North Central Climate Adaptation Science Center,Science Center,Boulder
